COMPANY;TICKER;Allianz Polska TFI S.A.;BNP Paribas TFI S.A.;ESALIENS TFI S.A.;Generali Investments TFI S.A.;Goldman Sachs TFI S.A.;Investors TFI S.A.;Millennium TFI S.A.;Nationale-Nederlanden;PFR TFI S.A.;PKO TFI S.A.;PZU TFI S.A.;Pekao TFI S.A.;Pocztylion;Santander TFI S.A.;UNIQA TFI S.A.;Vienna Life;TOTAL;Allianz Polska TFI S.A._pct;BNP Paribas TFI S.A._pct;ESALIENS TFI S.A._pct;Generali Investments TFI S.A._pct;Goldman Sachs TFI S.A._pct;Investors TFI S.A._pct;Millennium TFI S.A._pct;Nationale-Nederlanden_pct;PFR TFI S.A._pct;PKO TFI S.A._pct;PZU TFI S.A._pct;Pekao TFI S.A._pct;Pocztylion_pct;Santander TFI S.A._pct;UNIQA TFI S.A._pct;Vienna Life_pct;TOTAL_pct
MIRBUD S.A.;MRB PW Equity;168956;-15625;-157794;-22231;91683;6912;0;-887130.7;0;645744;970605;0;0;97515;-170653;200;728181.3;;-0.18469267139479907;-1;-0.065144260354336065;0.13513935790269628;0.05975620299126816;;-0.6645683983078942;0;;0.28514489698730962;0;;0.6932230981950536;-0.43630427501642664;;0.10916326457513215
ML SYSTEM S.A.;MLS PW Equity;0;-3498;0;0;0;0;-9436;-8119;0;0;-136483;0;0;0;0;0;-157536;;-1;;;;;-1;-1;;;-1;;;;;;-1
MLP GROUP S.A.;MLG PW Equity;0;0;0;0;-404;0;0;0;0;0;0;-12040;0;0;0;0;-12444;;0;;;-0.012341907496792315;0;;;;;;-0.09011841140102694;;;0;;-0.06987046675762631
MO-BRUK S.A.;MBR PW Equity;-10734;-420;0;0;0;0;762;0;0;-2161;2372;0;0;6220;-10215;0;-14176;-1;-0.18111254851228974;;;;;0.3417040358744394;;;-0.07796940395439456;0.04740776272134939;0;;;-0.58043070629013016;;-0.11805266401292446
MOL HUNGARIAN OIL & GAS PLC;MOL HB Equity;0;0;-38000;0;31601;0;0;0;0;0;0;0;0;0;0;0;-6399;;;-1;;;;;;;;;;;;;;-0.16839473684210525
MOLECURE S.A.;MOC PW Equity;0;-3485;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-3485;;-1;;;;;;;;;;;;;;;-1
MOTOR OIL HELLAS CORINTH REFINERIES SA;MOH GA Equity;0;0;0;0;92917;0;0;0;0;0;0;0;0;0;0;0;92917;;;;;;;;;;;;;;;;;
MURAPOL S.A.;MUR PW Equity;0;0;0;0;0;0;0;0;0;0;335982;0;0;38470;79931;43712;498095;;;;;;;;;;;;;;0.9516152970860337;;;12.321154702419235
MURPHY USA INC;MUSA US Equity;0;0;0;0;0;-390;0;0;0;0;0;0;0;0;0;0;-390;;;;;;-1;;;;;;;;;;;-1
MYTILINEOS HOLDINGS S.A.;MYTIL GA Equity;0;0;0;0;-35217;0;0;0;0;0;0;0;0;0;0;0;-35217;;;;;-1;;;;;;;;;;;;-1
Mangata Holding S.A.;MGT PW Equity;0;-444;0;0;0;0;0;0;0;0;0;0;4006.6;0;0;0;3562.6;;-1;;;;;;;;;;;0.27760509843646307;;;;0.2394744519267096
Medicalgorithmics SA;MDG PW Equity;123978;0;198750;74419;0;0;0;0;0;0;0;0;0;0;0;0;397147;;;;;;;;;;;;;;;;;
Monster Beverage Corp;MNST US Equity;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;;;;;;;;;;;;;0
MoonLake Immunotherapeutics AG;MLTX US Equity;0;0;0;0;0;0;0;-84.3;0;0;0;0;0;0;0;0;-84.3;;;;;;;;-1;;;;;;;;;-1
Münchener Rück AG;MUV2 GR Equity;0;0;0;0;0;0;0;439.4;0;0;0;0;0;0;0;0;439.4;;;;;;;;;;;;;;;;;
NATWEST GROUP PLC;NWG LN Equity;0;0;0;0;216640;0;0;0;0;0;0;0;0;0;0;0;216640;;;;;;;;;;;;;;;;;
NEUCA S.A.;NEU PW Equity;4080;24;0;157;-33;234;339;0;-201;-1713;15540;0;0;2240;2856;2314;25837;0.0989978890156018;0.024514811031664863;0;0.04753254617014835;-0.02268041237113405;0.0548009367681499;0.3498452012383901;;-1;-0.05789313596268886;0.27823533624579255;0;;1.5852795470629863;1.2199914566424606;;0.18098967454502144
NEWAG S.A.;NWG PW Equity;0;-101;0;0;-1162;0;0;0;0;1000;583871;0;0;0;0;0;583608;;-0.005783656874534748;;;-0.02197843767732177;;;;;;;;;;;;8.297783401817071
NEWMONT CORPORATION;NEM US Equity;-133749;0;-863;0;0;-1269;0;0;3881;0;-25920;0;0;0;0;0;-157920;-1;;-1;;;-0.4389484607402283;;;;;-1;;;;;;-0.9663266492476579
NIKE Inc;NKE US Equity;-12213;0;0;2254;0;0;0;0;0;0;82084;0;0;8879;0;0;81004;-1;;;0.27965260545905714;;;;;;;1.0472836765418867;;;;;;0.8211168665294828
NORFOLK SOUTHERN CORP;NSC US Equity;0;0;0;0;0;-412;0;0;0;0;0;0;0;0;0;0;-412;;;;;;-1;;;;;;;;;;;-1
NVIDIA CORP;NVDA US Equity;0;0;-80;-7740;0;135;150;14307.2;0;0;31307;17802;0;4446;0;0;60327.2;;;-0.00666666666666671;-1;;0.024245689655172376;0.08670520231213864;0.3062304555815969;;;0.4055836248218681;;;0.60979289535043215;;;0.3812400822803408
Nektar Therapeutics;NKTR US Equity;0;0;0;0;0;0;0;145086.8;0;0;0;0;0;0;0;0;145086.8;;;;;;;;;;;;;;;;;
Nestle SA;NESN SW Equity;0;0;0;-3684;0;0;0;0;0;0;0;0;0;0;0;0;-3684;;;;-1;;;;;;;;;;;;;-1
Novartis AG;NOVN SW Equity;0;0;0;0;0;0;0;0;0;0;0;-8200;0;0;0;0;-8200;;;;;;;;;;;;-1;;;;;-1
OCULAR THERAPEUTIX, INC.;OCUL US Equity;0;0;0;0;0;0;0;0;0;0;0;0;0;-19461;0;0;-19461;;;;;;;;;;;;;;-1;;;-1
ONDE S.A.;OND PW Equity;0;0;0;0;0;0;0;0;0;0;0;0;169.3;0;0;0;169.3;;;;;;;;;;;;;0.009800351418555842;;0;;0.009269089983217516
ONE UNITED PROPERTIES SA;ONE RO Equity;0;0;0;0;0;0;0;0;0;0;0;0;0;-4165669;0;0;-4165669;;;;;;;;;;;;;;-1;;;-1
ONESPAWORLD HOLDINGS LTD;OSW US Equity;0;0;0;0;0;-67;0;0;0;0;0;0;0;0;0;0;-67;;;;;;-0.013854425144747773;;;;;;;;;;;-0.013854425144747773
OPONEO.PL S.A.;OPN PW Equity;29433;2189;0;-653;-1354;0;0;0;0;0;0;71697;726.8;0;30000;0;132038.8;0.24016351975455706;2.672771672771673;;-0.06515015464431806;-0.015643774840558233;0;;;;;;35848.5;0.02651669667088208;;;;0.5086664422513658
ORACLE CORPORATION;ORCL US Equity;0;0;0;0;0;-152;0;19074.3;0;0;0;0;0;0;0;0;18922.3;;;;;;-0.4269662921348315;;;;;;;;;;;53.1526404494382
ORANGE POLSKA S.A.;OPL PW Equity;0;-90476;-27500;3656;96093;58820;-18138;652565;0;94183;0;-63545;-41013.2;0;-335118;778;330304.9;;-0.645961846013251;-0.26315789473684216;0.02774005083652642;0.11713444625258273;0.13495840197504583;-0.1955453016516452;0.3539545949768701;;0.019361366608277475;;-0.6415381974942201;-0.14686767665359135;;-0.6566177479083801;;0.03543240369034062
ORLEN S.A.;PKN PW Equity;785480;-26070;-8570;-32286;667130;104127;-345;77957.1;89759;-300456;514965;-752291;-25158;-51702;80948;134556;1258044.1;1.2497414536509925;-0.13522205047874936;-0.04282858570714643;-0.09660277546721563;1.829618131355793;0.4521029711224096;-0.003284838328826645;0.111183023677474;1.0384806728911413;-0.070605470058074165;0.27866433330302986;-0.6593549235286385;-0.1235165052051933;-0.18229192375767745;0.40574218319248544;;0.11676293934657366
ORZEŁ BIAŁY S.A.;OBL PW Equity;0;-143;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-143;;-0.014928489403904344;;;;;;;;;;;;;;;-0.014928489403904344
OTP BANK NYRT.;OTP HB Equity;0;0;0;0;-14278;0;0;0;0;0;0;0;0;0;0;0;-14278;;;;;-0.63037527593818986;;;;;;;;;;;;-0.63037527593818986
Occidental Petroleum Corp;OXY US Equity;0;0;0;-7269;0;0;0;0;0;0;0;0;0;0;0;0;-7269;;;;-1;;;;;;;;;;;;;-1
On Holding AG;ONON US Equity;0;0;0;0;0;0;0;0;0;0;142493;0;0;0;0;0;142493;;;;;;;;;;;;;;;;;
Orsted A/S;ORSTED DC Equity;0;0;0;0;0;0;0;0;0;0;0;-28722;0;0;0;0;-28722;;;;;;;;;;;;-1;;;;;-1
PALFINGER AG;PAL AV Equity;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6697;0;6697;;;;;;;;;;;;;;;;;
PALO ALTO NETWORKS, INC.;PANW US Equity;0;0;0;0;0;-194;0;0;0;0;-40760;0;0;3002;0;0;-37952;;;;;;-0.3211920529801324;;;;;-1;;;;;;-0.9175128130741707
PARSONS CORP;PSN US Equity;0;0;0;0;0;-4356;0;0;0;0;0;0;0;0;0;0;-4356;;;;;;-1;;;;;;;;;;;-1
PASSU SA;PAS PW Equity;0;0;0;0;0;0;0;0;0;0;0;0;0;17616;0;0;17616;;;;;;;;;;;;;;;;;
PCF GROUP SA;PCF PW Equity;0;-92;0;0;0;0;0;0;0;-13200;0;0;0;0;0;0;-13292;;-1;;;;;;;;-0.031641928431710986;;;;;;;-0.031855437856492363
PEPCO GROUP NV;PCO PW Equity;0;-9000;-135650;0;414288;-145;-10574;-354615.4;47805;-353024;911180;-327106;0;-201848;-74583;26971;-66301.4;;-0.15219155844155841;-1;0;1.508185501632732;-0.005723985472919635;-0.2352391546162402;-0.6230942507731234;;-0.20005780314063728;;-1;;-0.9891455089849703;-0.458737998437721;;-0.018084107051289044
PGE POLSKA GRUPA ENERGETYCZNA S.A.;PGE PW Equity;0;102490;-542500;11071;62009;92612;-1250;-731201.8;159294;-677572;1660852;-16699;-59976.8;181419;-307389;0;-66841.6;;0.8804982817869416;-1;0.07995522334163874;0.050768498952437735;0.4139102297663899;-0.008005943612537925;-0.28732012476075695;1.4156572434080147;-0.08557944452401545;1.0656193879168141;-0.026012037908195396;-0.2650274878088744;;-0.7318785714285714;;-0.004225023985743426
PKP CARGO SA;PKP PW Equity;0;0;0;0;0;0;0;-414957;0;0;-191990;0;0;0;0;0;-606947;;;;;;;;-0.4221009949188017;;0;-1;;;;;;-0.398666446143935
PLAYWAY S.A.;PLW PW Equity;-9428;0;0;-109;4361;0;585;0;0;-1018;0;0;0;0;0;0;-5609;-0.29072743532023804;0;;-0.018562670299727468;2.2572463768115944;;0.24704391891891888;;;-0.20800980792807522;;;;;;;-0.1153308385080396
PLN ABB LTD;ABBN SW Equity;0;0;-7;0;0;0;0;0;0;0;0;0;0;0;0;0;-7;;;-1;;;;;;;;;;;;;;-1
PLN AND INFORMATION NETWORK AG;BNN GR Equity;0;0;-5613;0;0;0;0;0;0;0;0;0;0;0;0;0;-5613;;;-1;;;;;;;;;;;;;;-1
PLN AS TALLINNA VESI;TVE1T ET Equity;0;0;-700;0;0;0;0;0;0;0;0;0;0;0;0;0;-700;;;-1;;;;;;;;;;;;;;-1
PLN BAKKAFROST P/F;BAKKA NO Equity;0;0;-1430;0;0;0;0;0;0;0;0;0;0;0;0;0;-1430;;;-1;;;;;;;;;;;;;;-1
PLN BICO GROUP AG;BICO SS Equity;0;0;-4565;0;0;0;0;0;0;0;0;0;0;0;0;0;-4565;;;-1;;;;;;;;;;;;;;-1
PLN BOOKING HOLDINGS INC;BKNG US Equity;0;0;-41;0;0;0;0;0;0;0;0;0;0;0;0;0;-41;;;-0.23699421965317924;;;;;;;;;;;;;;-0.23699421965317924
PLN CDRL S.A.;CDL PW Equity;0;0;-500;0;0;0;0;0;0;0;0;0;0;0;0;0;-500;;;-1;;;;;;;;;;;;;;-1
PLN CEZ A.S.;CEZ CP Equity;0;0;-800;0;0;0;0;0;0;0;0;0;0;0;0;0;-800;;;-1;;;;;;;;;;;;;;-1
PLN CIRCA GROUP AS;CIRCA Equity;0;0;200;0;0;0;0;0;0;0;0;0;0;0;0;0;200;;;;;;;;;;;;;;;;;
PLN CREDIT AGRICOLE SA;ACA FP Equity;0;0;-11650;0;0;0;0;0;0;0;0;0;0;0;0;0;-11650;;;-1;;;;;;;;;;;;;;-1
PLN EQUIPMENT AG;SBO AV Equity;0;0;-330;0;0;0;0;0;0;0;0;0;0;0;0;0;-330;;;-1;;;;;;;;;;;;;;-1
PLN EXXON MOBIL CORP;XOM US Equity;0;0;-2150;0;0;0;0;0;0;0;0;0;0;0;0;0;-2150;;;-0.54707379134860055;;;;;;;;;;;;;;-0.54707379134860055
PLN FIELMANN AG;FIE GR Equity;0;0;-3107;0;0;0;0;0;0;0;0;0;0;0;0;0;-3107;;;-1;;;;;;;;;;;;;;-1
PLN GILEAD SCIENCES INC;GILD US Equity;0;0;-230;0;0;0;0;0;0;0;0;0;0;0;0;0;-230;;;-1;;;;;;;;;;;;;;-1
PLN GLOBAL FASHION GROUP SA;GFG GR Equity;0;0;-310;0;0;0;0;0;0;0;0;0;0;0;0;0;-310;;;-1;;;;;;;;;;;;;;-1
PLN GRAIL INC;GRAL US Equity;0;0;-7;0;0;0;0;0;0;0;0;0;0;0;0;0;-7;;;-1;;;;;;;;;;;;;;-1
PLN HYDROGENPRO AS;HYPRO NO Equity;0;0;-300;0;0;0;0;0;0;0;0;0;0;0;0;0;-300;;;-1;;;;;;;;;;;;;;-1
PLN ILLUMINA INC;ILMN US Equity;0;0;-54;0;0;0;0;0;0;0;0;0;0;0;0;0;-54;;;-1;;;;;;;;;;;;;;-1
PLN IMPACT COATINGS AB;IMPC SS Equity;0;0;-6000;0;0;0;0;0;0;0;0;0;0;0;0;0;-6000;;;-1;;;;;;;;;;;;;;-1
PLN JENOPTIK AG;JEN GR Equity;0;0;-100;0;0;0;0;0;0;0;0;0;0;0;0;0;-100;;;-1;;;;;;;;;;;;;;-1
PLN K+S AG;SDF GR Equity;0;0;-14450;0;0;0;0;0;0;0;0;0;0;0;0;0;-14450;;;-0.8425655976676384;;;;;;;;;;;;;;-0.8425655976676384
PLN KRKA DD NOVO MESTO;KRKG SV Equity;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;;;;;;;;;;;;;;0
PLN MAYR MELNHOF KARTON AG;MMK AV Equity;0;0;-240;0;0;0;0;0;0;0;0;0;0;0;0;0;-240;;;-1;;;;;;;;;;;;;;-1
PLN MINESTO AB;MINEST SS Equity;0;0;-36100;0;0;0;0;0;0;0;0;0;0;0;0;0;-36100;;;-1;;;;;;;;;;;;;;-1
PLN NOLATO AB;NOLAB SS Equity;0;0;-20;0;0;0;0;0;0;0;0;0;0;0;0;0;-20;;;-1;;;;;;;;;;;;;;-1
PLN NOVO NORDISK A/S;NOVOB DC Equity;0;0;161398;0;0;0;0;0;0;0;0;0;0;10925;0;0;172323;;;;;;;;;;;;;;2.654921020656136;;;41.87679222357229
PLN OMV AG;OMV AV Equity;0;0;-513;0;0;0;0;0;0;0;0;0;0;0;0;0;-513;;;-1;;;;;;;;;;;;;;-1
PLN PEABODY ENERGY CORP;BTU US Equity;0;0;-17915;0;0;0;0;0;0;0;0;0;0;0;0;0;-17915;;;-1;;;;;;;;;;;;;;-1
PLN PETROL DD LJUBLJANA;PETG SV Equity;0;0;-60;0;0;0;0;0;0;0;0;0;0;0;0;0;-60;;;-1;;;;;;;;;;;;;;-1
PLN PSI SOFTWARE SE;PSAN GR Equity;0;0;-8;0;0;0;0;0;0;0;0;0;0;0;0;0;-8;;;-1;;;;;;;;;;;;;;-1
PLN READLY INTERNATIONAL AB;READ SS Equity;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;;;;;;;;;;;;;;0
PLN REPSOL YPF;REP SM Equity;0;0;-18975;0;0;0;0;0;0;0;0;0;0;0;0;0;-18975;;;-1;;;;;;;;;;;;;;-1
PLN SCHLUMBERGER LTD;SLB US Equity;0;0;-770;0;0;0;0;0;0;0;0;0;0;0;0;0;-770;;;-1;;;;;;;;;;;;;;-1
PLN SUPER MICRO COMPUTER INC;SMCI US Equity;0;0;-200;0;0;0;0;0;0;0;0;0;0;0;0;0;-200;;;-0.010322580645161339;;;;;;;;;;;;;;-0.010322580645161339
PLN TALLINNA SADAM AS;TSM1T ET Equity;0;0;-630;0;0;0;0;0;0;0;0;0;0;0;0;0;-630;;;-1;;;;;;;;;;;;;;-1
PLN THE MOSAIC COMPANY;MOS US Equity;0;0;-5750;0;0;0;0;0;0;0;0;0;0;0;0;0;-5750;;;-0.9879725085910653;;;;;;;;;;;;;;-0.9879725085910653
PLN TOTALENERGIES SE;TTE FP Equity;0;0;-5075;0;0;0;0;0;0;0;0;0;0;0;0;0;-5075;;;-0.8087649402390437;;;;;;;;;;;;;;-0.8087649402390437
PLN VITA 34 AG;V3V GR Equity;0;0;-338;0;0;0;0;0;0;0;0;0;0;0;0;0;-338;;;-1;;;;;;;;;;;;;;-1
PLN YARA INTERNATIONAL ASA;YAR NO Equity;0;0;-6400;0;0;0;0;-14576.2;0;0;0;0;0;0;0;0;-20976.2;;;-0.8443271767810026;;;;;-1;;;;;;;;;-0.946741673647419
PNC FINANCIAL SERVICES GROUP;PNC US Equity;0;0;0;0;0;-698;0;0;0;0;0;0;0;0;0;0;-698;;;;;;-1;;;;;;;;;;;-1
POLENERGIA S.A.;PEP PW Equity;0;-9562;0;0;-198;0;0;0;0;0;0;0;0;0;0;0;-9760;;-1;;;-0.03335017685699848;;;;;;;;;;0;;-0.3805068226120858
POLTREG S.A.;PTG PW Equity;-6481;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-6481;-0.3053906323626425;0;;;;;;;;;;;;;;;-0.249730271270037
PORR AG;POS AV Equity;0;0;0;0;6230;0;0;0;0;0;0;0;0;0;0;0;6230;;;;;0.0995939508264858;;;;;;;;;;;;0.0995939508264858
POWSZECHNA KASA OSZCZĘDNOŚCI BANK POLSKI S.A.;PKO PW Equity;-141960;18042;-123450;-758;151368;15010;-10160;423599.6;116922;108676;711058;307219;-12923.4;104652;98530;228203;1994028.2;-0.06385482338716642;0.07217637245920527;-0.342678695350451;-0.0016309317612126506;0.0953369494292431;0.029209494934556046;-0.06349960312748049;0.37476928906310405;1.115391219735562;0.017478947049289761;0.1824149876963301;0.35140783206672666;-0.05038718101575124;0.32733312272646245;0.13948602662310172;;0.10457869547553432
POWSZECHNY ZAKŁAD UBEZPIECZEŃ S.A.;PZU PW Equity;-80266;-9207;-38250;14700;16782;8910;-4091;-11801.9;85252;269777;1531270;-591674;-4051.4;-66025;-452392;190849;859781.6;-0.04866048180339511;-0.053532182103610655;-0.2276785714285714;0.04841036179335689;0.014470759270788225;0.022269321323062696;-0.035223212363855505;-0.007440267773786591;1.0068261804095707;0.06414986572083925;0.8908834073568993;-0.51027406120798055;-0.021619844765988327;-0.2163023679417122;-0.4686980035432704;;0.0606264458381629
PRZEDSIEBIORSTWO HYDRAULIKI SI;HDR PW Equity;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;0;;;;;;;0
PUMA SE.;PUM GR Equity;0;0;0;0;39947;0;0;0;0;0;0;0;0;0;0;0;39947;;;;;;;;;;;;;;;;;
Pan American Silver Corp;PAAS CN Equity;-122912;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-122912;-1;;;;;;;;;;;;;;;;-1
PepsiCo Inc.;PEP US Equity;0;0;0;0;0;0;0;-91.7;0;0;0;0;0;0;0;0;-91.7;;;;;;;;-0.25899991529491494;;;;0;;;;;-0.02711362420451824
Pernod Ricard;RI FP Equity;0;0;0;-2303;0;0;0;0;0;0;0;0;0;0;0;0;-2303;;;;-1;;;;;;;;;;;;;-1
Pfizer Inc.;PFE US Equity;0;0;0;0;0;0;0;0;0;0;0;81789;0;0;0;0;81789;;;;;;;;;;;;1.2888072989710216;;;;;1.2888072989710216
Polimex-Mostostal SA;PXM PW Equity;98670;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;98670;;;;;;;;;;;;;;;;;
Poznańska Korporacja Budowlana Pekabex S.A.;PBX PW Equity;0;-9590;0;0;0;0;3791;0;0;0;0;0;2668.5;38478;0;0;35347.5;;-0.4483193866579403;;;;;0.13071963035757395;;;;;;0.04055009763473194;0.7560716812072626;;;0.21154679649650944
Procter & Gamble Company;PG US Equity;0;0;0;0;0;0;0;995.1;0;0;0;0;0;0;0;0;995.1;;;;;;;;0.4332688924882873;;;;0;;;;;0.07502291973268349
Publicis Groupe;PUB FP Equity;0;0;0;0;0;0;0;0;0;0;0;36351;0;0;0;0;36351;;;;;;;;;;;;;;;;;
QUALCOMM INC.;QCOM US Equity;0;0;0;0;0;-578;0;0;0;0;0;0;0;0;0;0;-578;;;;;;-1;;;;;;;;;;;-1
QUANTA SERVICES INC;PWR US Equity;0;0;0;0;0;-679;0;0;0;0;0;0;0;0;0;0;-679;;;;;;-0.2940666955391945;;;;;;;;;;;-0.2940666955391945
QUERCUS TFI SA;QRS PW Equity;434591;0;0;0;0;70061;0;0;0;0;0;0;0;0;0;92000;596652;;;;;;1.102576208236942;;;;;;;;;;;9.38973608422643
RAIFFEISEN BANK INTERNATIONAL AG;RBI AV Equity;0;0;0;0;-66007;0;0;0;0;0;0;0;0;0;0;0;-66007;;;;;-1;;;;;;;;;;;;-1
RAINBOW TOURS S.A.;RBW PW Equity;15468;1408;0;3670;-15815;-753;671;-45961.4;-4852;49378;233224;0;0;15443;47;11790;263717.6;0.11335937442745013;0.20145943625697527;;0.20841615083196086;-0.1277236678457786;-0.03419307964762508;0.3186134852801519;-0.29024217153907863;-1;1.0320193955607576;2.468109423779036;0;;;0.0014748336889669478;;0.3923098433971195
RAWLPLUG S.A.;RWL PW Equity;0;-257;0;0;0;0;0;0;-1268;0;0;0;0;0;0;0;-1525;;-0.022143718766155396;;;;;;;-1;;;;;;;;-0.11845580239241881
ROCKET LAB CORP;RKLB US Equity;0;0;0;0;0;835;0;0;0;0;0;0;0;12401;0;0;13236;;;;;;;;;;;;;;;;;
RTX Corp.;RTX US Equity;0;0;0;0;0;0;0;17495.6;0;0;0;0;0;0;0;0;17495.6;;;;;;;;;;;;;;;;;
RYVU THERAPEUTICS S.A.;RVU PW Equity;-200982;-2087;-2300;0;-14274;0;697;0;-20279;-4500;-161655;0;0;0;49450;0;-355930;-0.6402515362634632;-0.6581520025228635;-0.26285714285714292;;-0.26889458217165252;;0.13471202164669505;;-1;-0.02565827736027637;-1;;;;0.5917478400306344;;-0.4314449460102888
Regeneron Pharmaceuticals inc.;REGN US Equity;0;0;0;-151;0;0;0;0;0;0;0;0;0;0;0;0;-151;;;;-1;;;;;;;;;;;;;-1
Render Cube S.A.;RND PW Equity;0;0;0;0;0;0;0;-3256.5;0;0;0;0;0;0;0;0;-3256.5;;;;;;;;-0.07092813072898174;;;;;;;;;-0.07092813072898174
Rheinmetall AG;RHM GR Equity;0;0;0;0;0;38;0;1589.5;256;0;6505;0;0;-250;0;0;8138.5;;;;;;0.09090909090909083;;;;;;;;-1;;;12.183338323353291
Roche Holding AG;ROG SW Equity;0;0;0;-1495;0;0;0;0;0;0;0;-5226;0;0;0;0;-6721;;;;-1;;;;;;;;-1;;;;;-1
SAAB AB;SAABB SS Equity;0;0;0;0;0;4471;0;0;0;0;0;0;0;0;0;0;4471;;;;;;;;;;;;;;;;;
SAFRAN SA;SAF FP Equity;0;0;0;0;0;0;0;0;1670;0;0;0;0;0;0;0;1670;;;;;;;;;;;;;;;;;
SAIPEM SPA;SPM IM Equity;0;0;0;0;0;0;0;0;0;0;0;0;0;18461;0;0;18461;;;;;;;;;;;;;;0.10371931007359958;;;0.10371931007359958
SALESFORCE, INC.;CRM US Equity;0;0;0;0;0;-720;0;-10223.5;0;0;26467;0;0;4934;0;0;20457.5;;;;;;-0.63716814159292035;;-1;;;;;;2.9633633633633633;;;1.5714195732377564
SAP SE;SAP GR Equity;0;0;0;0;0;-531;0;-5076.8;0;0;54785;0;0;0;0;0;49177.2;;;;;;-0.42344497607655505;;-0.5173414910778067;;;;;;;;;4.443524405968283
SELENA FM S.A.;SEL PW Equity;0;-158;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-158;;-0.03029721955896447;;;;;;;;;;;;;;;-0.03029721955896447
SELVITA S.A.;SLV PW Equity;59617;-2553;-700;12335;-1471;-12497;1120;-208.1;-10421;-7668;21884;0;0;54007;-2600;0;110844.9;0.1984032427683338;-0.1834578901983328;-0.4117647058823529;0.7185715950133986;-0.05036981235447202;-0.6773441734417345;0.23362536503963295;-0.074536363831722685;-1;-0.07438954588228441;0.07640714632366552;;;;-0.04448170262270967;;0.13088771847714153
SERVICENOW INC;NOW US Equity;0;0;0;0;0;284;0;-21513.5;0;0;0;0;0;0;0;0;-21229.5;;;;;;0.365979381443299;;-1;;;;;;;;;-0.9524439118561365
SHOPER S.A.;SHO PW Equity;-21144;3640;0;10399;-59396;30344;1559;42849.8;19174;0;44717;0;0;40689;53357;0;166188.8;-0.07305797231647393;3.1244635193133047;;0.19631496479205612;-0.4463012360521471;0.8185153215364696;0.07842446803159109;0.11508957410390796;1.6893392070484583;;0.0900066221299911;0;;0.6316794485670816;2.1365875145156767;;0.09833418407212836
SHOPIFY INC.;SHOP CN Equity;0;0;0;0;0;-891;0;0;0;0;0;0;0;0;0;0;-891;;;;;;-0.29709903301100372;;;;;;;;;;;-0.29709903301100372
SIEMENS AG;SIE GR Equity;0;0;0;-2098;0;599;0;0;0;0;0;0;0;0;0;0;-1499;;;;-1;;0.4453531598513012;;;;;;;;;;;-0.4353761254719721
SIEMENS ENERGY AG;ENR GR Equity;0;0;0;0;11320;0;0;20396;0;0;0;0;0;0;0;0;31716;;;;;;;;;;;;;;;;;
SIKA AG;SIKA SW Equity;0;0;0;-1309;0;0;0;0;0;0;0;0;0;0;0;0;-1309;;;;-1;;;;;;;;;;;;;-1
SKARBIEC HOLDING SA;SKH PW Equity;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;35668;35668;;;;;;;;;;;;;;;;;
SNIEZKA SA;SKA PW Equity;0;-247;0;0;0;0;0;0;0;-5658;0;0;0;0;0;0;-5905;;-1;;;;;;;;-0.07490071485305794;;;;;;;-0.07791573752754433
SOCIETE GENERALE PARIS;GLE FP Equity;0;0;0;0;24505;1455;0;0;0;0;0;0;0;0;0;0;25960;;;;;;;;;;;;;;;;;
STALEXPORT AUTOSTRADY SA;STX PW Equity;0;0;0;0;0;0;0;0;0;-18000;-681112;0;0;0;0;84561;-614551;;0;;;;0;;;;-0.01591302295276753;-0.05220333911537789;;;;0;;-0.04212662796136923
STALPRODUKT S.A.;STP PW Equity;0;0;0;0;255;0;0;0;0;0;0;0;0;-2891;0;0;-2636;;;;;0.50595238095238095;0;;;;;;;;-1;;;-0.6738241308793455
STALPROFIL S.A.;STF PW Equity;0;-2911;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-2911;;-1;;;;;;;;;;;;;;;-1
STMICROELECTRONICS NV;STMPA FP Equity;0;0;0;0;0;0;0;0;0;0;0;0;0;28275;0;0;28275;;;;;;;;;;;;;;;;;
SWEETGREEN INC;SG US Equity;0;0;0;0;0;-1780;0;0;0;0;0;0;0;0;0;0;-1780;;;;;;-1;;;;;;;;;;;-1
SYMBOTIC INC;SYM US Equity;0;0;0;0;0;-2380;0;0;0;0;0;0;0;0;0;0;-2380;;;;;;-0.669479606188467;;;;;;;;;;;-0.669479606188467
